time,duration,source_computer,source_port,destination_computer,destination_port,protocol,packet_count,byte_count,class
1228158,2,C2229,N979,C529,389,6,21,5804,0
1228158,2,C529,389,C2229,N979,6,25,26248,0
1228158,2,C529,389,C2229,N979,6,27,28183,0
1228158,32,C4174,137,C14179,137,17,2,168,0
1228158,34,C16856,N2679,C5721,445,6,4,278,0
1228158,34,C5721,445,C16856,N2679,6,2,186,0
1228158,34,C7454,N2702,C5720,445,6,4,278,0
1228158,35,C2229,N988,C529,N133,6,11,3099,0
1228158,35,C529,N133,C2229,N988,6,9,1488,0
1228158,36,C17137,N16322,C5463,139,6,4,278,0
1228158,4,C11238,2049,C5720,445,6,14,3329,0
1228158,4,C5720,445,C11238,2049,6,13,1413,0
1228158,54,C458,1433,C6487,N22491,6,6,516,0
1228158,6,C1685,N7,C13859,N15328,6,7,3023,0
1228158,6,C1685,N7,C22710,N13849,6,4,2756,0
1228158,6,C1685,N7,C3674,N18031,6,6,2981,0
1228158,55,C11516,N2728,C23411,161,17,4,424,0
1228158,55,C14975,N2803,C706,8080,6,8,3003,0
1228158,55,C9550,N23540,C706,8080,6,8,3545,0
1228158,67,C8017,N1082,C5721,445,6,3339,176130,0
1228159,0,C10,N658,C12309,N12534,6,10,1406,0
1228159,0,C10,N658,C12309,N18043,6,47,41499,0
1228159,0,C10986,N23753,C1707,N7,6,5,856,0
1228159,0,C11238,N15677,C5720,139,6,2,94,0
1228159,0,C1295,138,C586,138,17,1,207,0
1228159,0,C15355,N23929,C1685,N7,6,7,1262,0
1228159,0,C1685,N7,C15355,N23929,6,5,2691,0
1228159,0,C1707,N7,C10986,N23753,6,4,414,0
1228159,0,C17452,N14462,C706,8080,6,6,492,0
1268718,8,C2626,N548,C585,445,6,196,27259,0
1268719,0,C10,N751,C8393,445,6,1,52,0
1268719,0,C12794,N3787,C706,8080,6,1,46,0
1268719,0,C13287,3389,C2174,N2,1,2,120,0
1268719,0,C13362,N20143,C5721,445,6,3,270,0
1268719,0,C1458,N11278,C1973,8080,6,7,1702,0
1268719,0,C1458,N11286,C1973,8080,6,7,1693,0
1268719,0,C1458,N19876,C1973,8080,6,7,1693,0
1268719,0,C15558,N6474,C706,8080,6,1,46,0
1268719,0,C1697,N2,C1823,N2,1,1,60,0
1268719,0,C17019,N19784,C585,139,6,1,46,0
1268719,0,C1823,3389,C1697,N2,1,1,60,0
1268719,0,C1973,8080,C1458,N1056,6,5,452,0
1268719,0,C1973,8080,C1458,N11278,6,5,452,0
1268719,0,C1973,8080,C1458,N11286,6,5,452,0
1268719,0,C1973,8080,C1458,N19876,6,5,452,0
1268719,0,C1973,8080,C792,N10884,6,5,452,0
1268719,0,C1973,8080,C792,N20203,6,5,452,0
1268719,0,C1973,8080,C792,N20400,6,5,452,0
1268719,0,C1973,8080,C792,N2173,6,5,452,0
1268719,0,C2174,N2,C13287,N2,1,2,120,0
1268719,0,C2660,N4921,C10054,70,6,4,190,0
1268719,0,C2798,N937,C586,445,6,1,52,0
1268719,0,C5721,139,C8542,N6723,6,1,48,0
1268719,0,C5721,445,C13362,N20143,6,2,224,0
1268719,0,C5721,N2,C8655,N2,1,1,60,0
1268719,0,C585,139,C8542,N12889,6,1,48,0
1268719,0,C585,N2,C8542,N2,1,1,60,0
1268719,0,C792,N10884,C1973,8080,6,7,1716,0
1268719,0,C792,N20203,C1973,8080,6,7,1707,0
1268719,0,C792,N20400,C1973,8080,6,7,1707,0
1268719,0,C792,N2173,C1973,8080,6,7,1716,0
1268719,0,C8542,3389,C585,N2,1,1,60,0
1268719,0,C8542,N12889,C585,139,6,2,94,0
1268719,0,C8542,N6723,C5721,139,6,2,94,0
1268719,0,C8655,3389,C5721,N2,1,1,60,0
1268719,15,C1065,N5423,C467,8080,6,204,94115,1
1268719,10,C11231,N5274,C1685,N132,6,6,1222,0
1268719,12,C585,445,C454,N14735,6,51,6819,0
1268719,13,C14637,N14196,C1685,N132,6,6,1218,0
1268719,13,C20197,N655,C585,445,6,28,6727,0
1268719,13,C585,445,C20197,N655,6,23,3444,0
1268719,16,C467,N16570,C396,8080,6,217,97512,1
1268719,28,C13090,N4525,C5721,445,6,29,12849,0
1268719,34,C4369,N2615,C5721,445,6,4,278,0
1268719,34,C5721,445,C4369,N2615,6,2,186,0
1268719,37,C6223,N4180,C585,445,6,4,278,0
1268719,48,C454,N14735,C585,445,6,53,8972,0
1268719,5,C1685,N132,C11231,N5274,6,4,2756,0
1268719,6,C1685,N132,C14637,N14196,6,4,2752,0
1268719,6,C18831,N2699,C1841,N174,6,227,261600,0
1268719,6,C4407,N472,C11535,N21079,6,11,1500,0
1268719,6,C4407,N472,C11535,N962,6,11,1414,0
1268719,55,C2588,N29,C27091,N3770,6,3,138,0
1268719,55,C2588,N29,C7962,N686,6,3,138,0
1268719,55,C27091,N3770,C2588,N29,6,3,138,0
1268719,55,C7962,N686,C2588,N29,6,3,138,0
1268719,61,C16770,N175,C5721,445,6,204,55590,0
1268719,61,C5720,445,C20197,N3393,6,78,13642,0
1268719,61,C5721,445,C14530,N3471,6,3,279,0
1268719,68,C5721,445,C6754,N4290,6,4421,6524745,0
1268719,68,C6754,N4290,C5721,445,6,2306,131697,0
1268719,69,C20954,N191,C5720,445,6,4011,234489,0
1268719,7,C5721,445,C8542,N12120,6,62,8518,0
1268719,7,C585,445,C8542,N12298,6,59,7900,0
1268719,7,C8542,N12120,C5721,445,6,66,9594,0
1268719,7,C8542,N12298,C585,445,6,62,10595,0
1268719,8,C5721,445,C8655,N9761,6,20,2753,0
1268719,8,C8655,N9761,C5721,445,6,22,6311,0
1268719,9,C10921,N19459,C8479,N645,6,3,144,0
1268719,9,C23230,N11482,C128,N14,6,3,152,0
1268719,9,C396,8080,C467,N16570,6,119,54025,1
1268719,9,C23230,N13429,C3469,N14,6,3,152,0
1268719,9,C23230,N13447,C4847,N14,6,3,152,0
1268719,9,C23230,N16180,C24735,N14,6,3,152,0
1268719,9,C23230,N18401,C4116,N14,6,3,152,0
1268719,9,C23230,N18627,C3971,N14,6,3,152,0
1268719,9,C23230,N8851,C3371,N14,6,3,152,0
1268719,10,C467,8080,C1065,N5423,6,124,56074,1
1268720,0,C1015,135,C2114,N16724,6,3,336,0
1268720,0,C1015,135,C2114,N16979,6,6,572,0
1268720,0,C1015,135,C2114,N17301,6,6,572,0
1268720,0,C1015,135,C2114,N17583,6,5,312,0
1268720,0,C1015,135,C2114,N3545,6,3,140,0
1268720,0,C1015,139,C2114,N15835,6,1,48,0
1268720,0,C12707,3389,C2174,N2,1,2,120,0
1268720,0,C12894,3389,C5720,N2,1,1,60,0
1268720,0,C13779,N961,C3774,445,6,1,46,0
1268720,0,C1393,N4680,C706,8080,6,1,46,0
1268720,0,C16314,445,C15865,N681,6,1,46,0
1268720,0,C1654,8080,C17592,N20506,6,2,104,0
1268720,0,C1685,N132,C17730,N12209,6,4,372,0
1268720,0,C1685,N132,C17730,N2728,6,4,372,0
1268720,0,C1685,N132,C17730,N2730,6,4,372,0
1268720,0,C1685,N132,C3928,N10307,6,4,413,0
1268720,0,C1685,N132,C3928,N241,6,4,414,0
1268722,0,C528,445,C409,N940,6,1,46,0
1268722,0,C585,139,C12006,N19211,6,1,46,0
1268722,0,C585,445,C13202,N8011,6,1,46,0
1268722,0,C706,8080,C10942,N11521,6,6,4076,0
1268722,10,C2661,N7393,C1707,N132,6,6,1213,0
1453538,0,C14483,N10811,C586,88,6,5,523,0
1453538,0,C14483,N10988,C586,88,17,1,321,0
1453538,0,C586,88,C14483,N10811,6,4,627,0
1453538,0,C586,88,C14483,N10988,17,1,106,0
1453538,63,C5763,N10509,C693,N9,6,340,22048,0
1453538,63,C693,N9,C5763,N10509,6,352,242913,0
1453539,0,C1804,N2,C467,N3,1,2,120,0
1453539,0,C467,N3,C1804,N3,1,2,120,0
1453539,10,C4616,N2399,C1685,N27,6,6,1219,0
1453539,11,C13795,N10812,C1707,N27,6,7,1269,0
1453539,11,C1804,N7689,C467,445,6,17,4367,0
1453539,11,C467,445,C1804,N7689,6,14,2152,0
1453539,11,C467,445,C1804,N7689,6,15,2418,0
1453539,32,C14179,137,C4174,137,17,2,156,0
1453539,32,C14179,137,C4920,137,17,2,156,0
1453539,32,C4174,137,C14179,137,17,2,168,0
1453539,32,C4920,137,C14179,137,17,2,168,0
1453539,51,C13661,137,C4174,137,17,9,702,0
1453539,51,C4174,137,C13661,137,17,9,756,0
1453539,51,C4920,137,C13661,137,17,9,756,0
1453539,6,C1685,N27,C4616,N2399,6,4,2754,0
1453539,6,C1707,N27,C13795,N10812,6,5,2804,0
1453540,0,C15733,N471,C5720,445,6,2,148,0
1453540,0,C5720,445,C15733,N471,6,1,91,0
1453540,10,C14494,N10346,C612,70,6,7,779,0
1453540,10,C14494,N10841,C612,135,6,8,1300,0
1453540,10,C612,70,C14494,N10346,6,5,680,0
1453541,0,C1804,N10803,C467,389,6,10,2781,0
1453541,0,C1804,N10987,C467,389,17,1,237,0
1453541,0,C18251,N10022,C528,445,6,1,52,0
1453541,0,C467,389,C1804,N10803,6,10,5068,0
1453541,0,C467,389,C1804,N10803,6,9,4838,0
1453541,0,C467,389,C1804,N10987,17,1,193,0
1453541,0,C528,445,C18251,N10022,6,1,46,0
1453542,0,C15218,N2,C467,N3,1,2,120,0
1453542,0,C4377,N10990,C612,389,17,1,234,0
1453542,0,C467,N3,C15218,N3,1,2,120,0
1453542,0,C612,389,C4377,N10990,17,1,193,0
1453542,0,C706,8080,C15003,N10997,6,7,4123,0
1453542,10,C15218,N3661,C467,445,6,17,4347,0
1453542,10,C467,445,C15218,N3661,6,15,2418,0
1453542,18,C14870,N10861,C467,70,6,9,893,0
1453542,18,C14870,N6772,C467,135,6,9,932,0
1453542,18,C467,135,C14870,N6772,6,7,1080,0
1453542,18,C467,70,C14870,N10861,6,7,836,0
1453542,55,C24450,137,C4920,137,17,12,990,0
1453542,55,C15003,N10997,C706,8080,6,9,3563,0
1453543,0,C14993,137,C4174,137,17,2,156,0
1453543,0,C14993,137,C4920,137,17,2,156,0
1453543,0,C15914,N10704,C706,8080,6,1,46,0
1453543,0,C1973,8080,C4377,N10805,6,5,448,0
1453543,0,C1973,8080,C4377,N10806,6,5,448,0
1453543,0,C1973,8080,C4377,N10807,6,5,448,0
1453543,0,C1973,8080,C4377,N2304,6,5,448,0
820120,54,C18495,N4019,C5720,445,6,992,265777,0
820120,57,C19597,N14421,C706,80,6,17,8098,0
820120,57,C706,80,C19597,N14421,6,13,5173,0
820120,58,C14521,137,C4174,137,17,3,234,0
820120,58,C14521,137,C4920,137,17,3,234,0
820120,58,C2588,N1,C7670,N7289,6,8,874,0
820120,58,C4174,137,C14521,137,17,3,252,0
820120,58,C4920,137,C14521,137,17,3,252,0
820120,6,C1685,N732,C433,N3704,6,6,2979,0
820120,6,C1707,N732,C19918,N19,6,6,2984,0
820120,60,C12230,N2301,C2588,N1,6,3,138,0
820120,60,C16223,N14638,C706,80,6,8,3005,0
820120,60,C16500,N4353,C2588,N1,6,3,138,0
820120,60,C2588,N1,C12230,N2301,6,3,138,0
820120,61,C17909,N4348,C706,80,6,8,2990,0
820120,7,C11492,N1161,C231,N326,6,90,118430,0
820120,7,C12212,N13393,C1685,N732,6,8,1310,0
820120,7,C16166,N8419,C2588,N1,6,9,658,0
820120,7,C1685,N732,C12212,N13393,6,7,2892,0
820120,7,C231,N326,C11492,N1161,6,53,9074,0
820120,7,C2588,N1,C16166,N8419,6,10,2542,0
820120,9,C5720,445,C12923,N12133,6,95,11419,0
820121,0,C11940,N1116,C1707,N732,6,5,847,0
820121,0,C11940,N940,C1707,N732,6,5,847,0
820121,0,C12380,N17585,C1707,N732,6,5,852,0
820121,0,C12380,N17587,C1707,N732,6,5,852,0
820121,0,C12578,N3236,C706,80,6,7,2959,0
820121,0,C15323,N15629,C4174,137,17,1,78,0
820121,0,C15539,22,C5763,N5719,6,1,46,0
820121,0,C16397,N1211,C625,88,6,6,1818,0
820121,0,C16601,N2414,C5720,445,6,1,52,0
820121,0,C1707,N732,C11940,N1116,6,4,414,0
820121,0,C1707,N732,C11940,N940,6,4,413,0
820121,0,C1707,N732,C12380,N17585,6,4,409,0
820121,0,C1707,N732,C12380,N17587,6,4,410,0
820121,0,C19959,N17206,C231,N326,6,1,46,0
820121,0,C231,80,C3826,2608,6,5,2148,0
820121,0,C231,80,C3826,N24241,6,5,2148,0
820121,0,C231,80,C3826,N24258,6,5,2148,0
820121,0,C3826,2608,C231,80,6,8,2755,0
820121,0,C3826,N22090,C706,80,6,8,2755,0
820121,0,C3826,N24163,C706,80,6,8,2755,0
820121,0,C3826,N24241,C231,80,6,8,2755,0
820121,0,C3826,N24258,C231,80,6,8,2755,0
820121,0,C4172,N7048,C706,80,6,1,46,0
820121,0,C528,N155,C4251,N155,1,2,120,0
820121,0,C5496,N11798,C5720,139,6,2,94,0
820121,0,C5496,N338,C5720,139,6,2,94,0
820121,0,C5720,139,C5496,N11798,6,1,48,0
820121,0,C5720,139,C5496,N338,6,1,48,0
820121,0,C5763,N5719,C15539,22,6,1,84,0
820121,0,C625,88,C16397,N1211,6,6,1772,0
820121,0,C706,80,C12578,N3236,6,4,515,0
820121,0,C706,80,C3826,N22090,6,5,2148,0
820121,0,C706,80,C3826,N24163,6,5,2148,0
820121,4,C797,N4163,C467,8080,6,5,1972,0
820121,0,C7204,N9469,C585,445,6,1,46,0
820121,1,C13197,N11949,C2588,N11948,6,3,152,0
820121,1,C15839,N10336,C1685,N732,6,7,1592,0
820121,1,C16397,N1474,C612,389,6,10,2940,0
820121,1,C1685,N732,C15839,N10336,6,5,509,0
820121,1,C2270,N14196,C5720,22,6,28,3740,0
820121,1,C2588,N11948,C13197,N11949,6,3,138,0
820121,1,C5720,22,C2270,N14196,6,28,9978,0
820121,1,C612,389,C16397,N1474,6,9,3170,0
820121,10,C10,445,C3322,N20988,6,670,227152,0
820121,10,C16158,N23666,C1707,N732,6,9,2989,0
820121,6,C467,N6163,C396,8080,6,6,2072,0
820121,11,C11451,N5886,C1707,N732,6,9,3509,0
820121,11,C21218,N20894,C1707,N732,6,9,3296,0
820121,12,C528,445,C4251,N19137,6,15,2418,0
820121,16,C1515,N15066,C1685,N732,6,9,2876,0
820121,34,C3763,N5440,C5720,445,6,4,278,0
820121,4,C5496,N11831,C5720,445,6,17,5193,0
820121,4,C5496,N5855,C5720,445,6,15,5023,0
820121,4,C5720,445,C5496,N11831,6,15,1765,0
820121,4,C5720,445,C5496,N5855,6,13,1452,0
820121,41,C5721,445,C16903,N6063,6,20,2250,0
820121,42,C16903,N6063,C5721,445,6,20,3230,0
820121,9,C396,8080,C467,N6163,6,32,20371,0
820121,5,C1707,N732,C16158,N23666,6,6,2984,0
820121,51,C9683,N375,C2588,N1,6,2,92,0
820121,52,C2588,N1,C9683,N375,6,2,162,0
820121,56,C1784,8080,C11225,N15893,6,46,28722,0
820121,58,C7670,N7289,C2588,N1,6,8,368,0
820121,59,C2588,N1,C16500,N4353,6,3,138,0
820121,6,C1707,N732,C21218,N20894,6,6,2985,0
820121,60,C13346,N9711,C2588,N1,6,13,598,0
820121,60,C2588,N1,C2817,N1670,6,3,138,0
820121,60,C2588,N1,C8889,N4419,6,3,280,0
820121,60,C2817,N1670,C2588,N1,6,3,138,0
820121,12,C467,8080,C797,N4163,6,33,20371,0
820121,60,C5720,445,C3032,N3252,6,38,23242,0
820121,61,C18982,N9680,C5721,445,6,71,9749,0
820121,62,C5721,445,C11609,N5293,6,48,28442,0
820121,63,C6387,N9138,C5720,445,6,91,24919,0
820121,7,C1685,N732,C1515,N15066,6,6,2982,0
820121,7,C1707,N732,C11451,N5886,6,6,3049,0
820122,0,C1089,N143,C9851,N4757,6,1,52,0
820122,0,C1370,N9715,C366,445,6,1,52,0
820122,0,C14907,N154,C2174,N155,1,1,60,0
820122,0,C15160,N154,C529,N155,1,2,120,0
820122,0,C2174,N155,C14907,N155,1,1,60,0
820122,0,C2270,N9224,C5720,22,6,24,3532,0
820122,0,C231,80,C10229,N11051,6,6,2226,0
820122,0,C231,80,C3826,N16929,6,5,2148,0
820122,0,C3173,N9717,C16635,445,6,1,52,0
820122,0,C366,445,C1370,N9715,6,1,46,0
820122,0,C3826,N24277,C706,80,6,8,2755,0
820122,0,C529,N155,C15160,N155,1,2,120,0
820122,0,C5720,22,C2270,N9224,6,23,9686,0
820122,0,C706,80,C3826,N24277,6,5,2148,0
820122,0,C9851,N4757,C1089,N143,6,1,46,0
820122,1,C10229,N11051,C231,80,6,9,3199,0
820122,1,C13197,N11972,C2588,N11948,6,3,152,0
820122,1,C2270,N9243,C5720,22,6,24,3532,0
820122,1,C2588,N11948,C13197,N11972,6,3,138,0
820122,1,C2817,N14086,C706,80,6,8,3674,0
820122,1,C5720,22,C2270,N9243,6,25,9750,0
